Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;2790.0;0.20;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;2790.0;0.13;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;2790.0;0.21;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;2790.0;0.00;10.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2790.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;2790.0;0.20;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;2790.0;0.13;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;2790.0;0.21;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;2790.0;0.00;10.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2790.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;2790.0;0.20;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;2790.0;0.13;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;2790.0;0.21;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;2790.0;0.00;10.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2790.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_170мм;470.0;2790.0;0.22;170.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;780.0;0.04;100.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;960.0;0.07;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;780.0;0.00;10.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;1190.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_170мм;470.0;1040.0;0.08;170.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;625.0;0.04;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;455.0;0.03;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;635.0;0.00;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_Парапет_Утеплитель_100мм;470.0;295.0;0.01;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;1300.0;0.06;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;1040.0;0.08;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;1200.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
