Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 4;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 4;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 2;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 2;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 2;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 4;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 5;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 5;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 5;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 5;Утепление стен подвала
