Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;120.0;3200.0;0.05;120.0;Этаж 01 (отм. -0,150);Секция 5;Перегородка. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;120.0;800.0;0.01;120.0;Этаж 01 (отм. -0,150);Секция 5;Перегородка. Кладка
Перегородка в свободной планировке_125мм;4020.0;3070.0;1.29;125.0;Этаж 01 (отм. -0,150);Секция 5;Перегородка ГКЛ
BRU_Перегородка_БлокКерамзитовыйПустотелый420х120х240;120.0;3200.0;0.03;120.0;Этаж 01 (отм. -0,150);Секция 5;Перегородка. Кладка
Перегородка в свободной планировке_125мм;4020.0;983.8;0.53;125.0;Этаж 01 (отм. -0,150);Секция 5;Перегородка ГКЛ
Перегородка в свободной планировке_125мм;4020.0;1245.0;0.63;125.0;Этаж 01 (отм. -0,150);Секция 5;Перегородка ГКЛ
Зашивка в свободной планировке_75мм;4020.0;1342.5;0.38;75.0;Этаж 01 (отм. -0,150);Секция 5;Утепление стен подвала
Зашивка в свободной планировке_75мм;4020.0;465.0;0.12;75.0;Этаж 01 (отм. -0,150);Секция 5;Утепление стен подвала
Зашивка в свободной планировке_75мм;4020.0;1217.5;0.38;75.0;Этаж 01 (отм. -0,150);Секция 5;Утепление стен подвала
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;3450.0;3.47;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;1065.0;0.93;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамзитовыйПустотелый420х250х240;4020.0;2025.0;1.87;250.0;Этаж 01 (отм. -0,150);Секция 1;Внутренняя стена. Кладка
BRU_Обшивка_ГКЛ_75_ГСП-A(12,5)_x2;2820.0;1575.0;0.32;75.0;Этаж 07 (отм. +19,050);Секция 5;Обшивка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2413.4;0.63;125.0;Этаж 03 (отм. +7,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1750.0;0.62;125.0;Этаж 03 (отм. +7,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2413.4;0.63;125.0;Этаж 04 (отм. +10,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1750.0;0.62;125.0;Этаж 04 (отм. +10,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2413.4;0.63;125.0;Этаж 02 (отм. +4,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1750.0;0.62;125.0;Этаж 02 (отм. +4,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2413.4;0.63;125.0;Этаж 05 (отм. +13,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1750.0;0.62;125.0;Этаж 05 (отм. +13,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2413.4;0.63;125.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1750.0;0.62;125.0;Этаж 06 (отм. +16,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;910.0;0.32;125.0;Этаж 03 (отм. +7,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;2690.0;0.44;125.0;Этаж 03 (отм. +7,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;431.6;0.15;125.0;Этаж 03 (отм. +7,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;1465.0;0.52;125.0;Этаж 03 (отм. +7,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;2112.5;0.50;125.0;Этаж 03 (отм. +7,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820.0;1720.0;0.61;125.0;Этаж 03 (отм. +7,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;910.0;0.32;125.0;Этаж 04 (отм. +10,050);Секция 5;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_125_ГСП-A(12,5)_x4;2820.0;2690.0;0.44;125.0;Этаж 04 (отм. +10,050);Секция 5;Перегородка ГКЛ
